edge_name,fnode,tnode,length
354039,2495,2496,131.6850432
354040,2496,808,131.5394436
354041,808,3985,137.2215541
354042,2497,2494,122.1578374
354043,13545,1846,84.87263587
354044,13836,1850,69.77563416
354045,3022,3023,144.3437766
354046,3026,8521,122.245543
354047,8521,3025,117.7058838
354048,8520,3024,119.5978421
354049,13337,13334,111.7910509
354050,3872,8791,179.1486123
354051,13429,13431,200.4257292
354052,2880,3823,153.1007067
354053,3823,13288,156.076521
354054,2881,13292,197.5476081
354055,3873,4030,159.1552959
354056,2882,13428,133.9592245
354057,2883,8334,119.5250634
354058,13468,2884,123.1668105
354059,13798,13799,154.632584
354060,1987,31056,304.2664787
354061,13604,1988,152.9178313
354062,4642,13609,152.3632311
354063,31057,1951,52.85144895
354064,1951,13647,106.0721272
354065,1952,13648,313.120512
354066,1954,4643,269.7277407
354067,1955,14173,51.4337126
354068,3676,3236,144.4850673
354069,3667,14783,109.2029467
354070,9936,2373,201.7921393
354071,13384,13421,155.7747311
354072,4295,2376,171.4819389
354073,2377,13441,125.8682642
354074,12505,2417,144.1482068
354075,12465,12461,128.2821939
354076,12461,12312,148.9453206
354077,2420,2421,132.5832089
354078,2421,2422,130.6636873
354079,2424,12412,109.2144029
354080,9274,3068,132.5081812
354081,9273,3007,136.4417511
354082,4092,2280,234.8382609
354083,12965,2273,142.2676395
354084,2273,12866,145.2984375
354085,2274,7677,173.4538607
354086,2276,9272,191.1747118
354087,2279,14883,119.4422367
354088,12870,7682,141.8053913
354089,9244,9303,167.8326698
354090,9303,3513,165.0363159
354091,3857,9297,35.21367734
354092,9297,3856,137.9581266
354094,3405,3543,208.1778485
354095,10218,10216,184.4387724
354096,3538,3469,176.1933147
354097,140782,3542,193.9509164
354098,3543,3544,212.004484
354099,10177,3545,183.6408372
354100,10217,3405,175.0841933
354101,3546,10217,163.9999102
354102,3467,10362,26.88554097
354103,3351,10358,130.2965703
354104,3635,13712,117.8379721
354105,514964,13875,24.80546366
354106,1852,13875,199.271251
354107,1853,13658,139.5487822
354108,1854,8873,108.5703492
354109,13555,140736,155.7501218
354110,13981,13556,126.6177738
354111,1857,140950,124.0461717
354112,13551,13552,119.5441447
354113,3606,14035,109.7085813
354114,9316,2107,120.8392038
354115,2109,9356,139.1890851
354116,9255,2110,217.4577475
354117,2110,9257,223.6480766
354118,9257,2111,116.926855
354119,2111,1135,117.001167
354120,2114,9908,151.7275857
354121,2112,9909,151.6314185
354122,2168,2169,149.2447157
354123,2170,2171,157.1810762
354124,1957,14179,355.5028888
354125,9602,2220,118.9859171
354126,2221,9603,120.279661
354127,2223,9606,134.8512721
354128,3715,2224,148.3440991
354129,10005,2227,132.0230218
354130,4690,10006,130.5917074
354131,10006,2228,133.594166
354132,2229,10044,133.0094087
354133,10044,10045,128.3084435
354134,2230,10046,126.9883062
354135,8518,3028,118.9000062
354136,3027,8523,66.91228502
354137,10149,3030,151.5572317
354138,10189,2288,144.7892827
354139,2287,2286,128.5206591
354140,2281,3005,170.6273272
354141,15223,2891,156.5827814
354142,3926,2945,139.2607772
354143,2945,2306,143.5765496
354144,2948,14484,131.1568551
354145,2946,2306,128.8960953
354146,14485,2992,129.917864
354147,2951,15635,133.2790536
354148,14438,15585,212.6398653
354149,15585,2996,174.9815637
354150,15542,2994,132.120007
354151,2993,15795,131.9098022
354152,3236,3677,146.4951028
354153,3678,13765,49.5439202
354154,3237,3679,150.4431223
354155,13438,2428,145.3134831
354156,8235,12267,441.6003298
354157,2469,13437,122.3231587
354158,30966,2635,125.3910526
354159,12138,2470,308.8313712
354160,2473,12137,241.2612009
354162,15850,4196,160.1321816
354163,13571,13570,180.8087686
354164,3218,14795,71.34726026
354165,15175,15799,162.4417321
354166,3318,8479,133.5224754
354167,15846,3791,164.5980744
354169,686,14554P,113.0960447
354170,3205,9280,144.7379497
354171,9090,3246,151.4036824
354172,3250,3251,150.1044426
354173,9662,9661,165.9928848
354174,4186,9713,172.0047156
354175,3255,9662,147.5405956
354176,9711,3256,129.9740305
354177,9715,9714,103.6650986
354178,3257,9712,129.5950015
354179,3259,9130,148.211179
354180,9663,9664,161.0191192
354181,3856,3513,146.4045197
354182,13710,31138,163.9360647
354183,3902,13811,120.3249419
354184,2535,4197,197.6012317
354185,2172,2173,171.2410447
354186,9856,8683,119.3595151
354187,9856,9858,198.4324677
354188,9858,9859,119.4229336
354189,9859,7618,120.474329
354190,7618,9861,161.5511042
354191,3763,9863,170.8836948
354192,9768,2175,121.1435214
354193,3819,10291,151.9677227
354194,2498,10294,155.040408
354195,2501,2502,123.5519906
354196,10288,10289,120.3593459
354197,10289,10290,130.9260425
354198,10292,10293,133.1872465
354199,10096,2504,131.4889087
354200,3820,2505,133.3191337
354201,10093,8240,133.32991
354202,2506,10095,135.0000364
354203,2507,2549,137.9672299
354204,140943,13984,39.85287086
354205,1904,14227,100.6434068
354206,13936,1861,107.464592
354207,14080,1899,102.2758615
354208,1862,14082,138.8339078
354209,14082,14081,138.5092367
354210,2286,2288,130.4251873
354211,13286,2925,110.5667135
354212,15549,13291,113.5571839
354213,2721,2927,10.51244618
354214,13156,2928,163.5909093
354215,2773,4294,162.3817749
354216,4294,2823,163.7378927
354217,13195,2929,195.393634
354218,2930,3875,123.6545324
354219,13238,15552,127.374465
354220,2934,12777,115.4337519
354221,1958,1959,153.9556265
354222,1960,8682,154.8513774
354223,13610,1953,145.1669906
354224,1961,8917,171.0117278
354225,1354,14171,147.049166
354226,14176,1957,212.3350384
354227,1963,1964,150.1799972
354228,13885,13886,149.8215325
354229,809,13834,521.6976405
354230,13606,13608,135.3513316
354231,13789,13693,134.840146
354232,2475,12600,232.1040514
354233,2474,140974,11.64733749
354234,2282,9325,160.2694882
354235,9328,2283,170.4123467
354236,14824,2285,134.7375513
354237,2285,14826,138.5692432
354238,14827,14873,150.3932736
354239,4093,2326,149.7572098
354240,2326,14879,103.6816592
354241,12872,2327,238.5727392
354242,12873,652,78.74487257
354243,2332,3057,123.3951891
354244,3184,14825,126.5875049
354245,3002,8339,159.433083
354246,12309,3001,135.7533185
354247,2999,12306,132.6369133
354248,12305,3000,120.1893597
354249,14149,31208,232.8970778
354250,3003,3004,82.97419047
354251,13582,3928,166.1997445
354252,3047,3048,141.6389997
354253,3048,14147,129.0550277
354254,3051,14105,142.2266727
354255,4197,3637,223.4732962
354256,15597,13803,125.1475359
354257,3903,3637,129.4017745
354258,3589,10300,167.1196056
354259,3597,10022,158.531381
354260,3650,3646,164.6183565
354261,9783,8483,125.9202986
354262,3409,4245,107.5377763
354263,9934,9974,149.0262134
354264,9974,3590,117.8931754
354265,3592,9973,141.9414705
354266,3595,3596,108.8565605
354267,9977,3594,230.0768642
354268,693,14410,130.1535812
354269,7258,14618,127.6350182
354270,729,14567,168.3419328
354271,31243,14327,98.63402621
354272,738,550172,77.52437422
354273,14517,3113,133.9761064
354274,7848,10213,241.6287947
354275,813,814,157.7199173
354276,8322,824,325.3064718
354277,8373,8669,157.4023903
354278,9660,3303,153.0777632
354279,514962,1899,24.08091007
354280,1864,1865,140.2804697
354281,14083,514963,140.5740678
354283,2115,9685,129.6631328
354284,9685,2116,124.4065568
354285,2116,4682,133.1129007
354286,4682,9736,127.6815372
354287,8959,2119,150.6112489
354288,3663,2120,149.4435429
354289,9687,9738,145.036816
354290,9948,2121,170.351726
354291,9947,2122,176.5528425
354292,9775,2176,132.697396
354293,3978,2177,131.1679868
354294,2177,1270,133.7098171
354295,10489,3979,133.9366644
354296,10488,2750,132.8032736
354297,9772,2752,131.7861987
354298,3764,9769,129.7691032
354299,2754,9777,151.3466377
354300,140945,13732,25.36945069
354301,2516,13730,32.88735567
354302,2517,3071,301.0728692
354303,13737,2518,112.1902189
354304,13880,2565,180.2553479
354305,13736,13688,174.7337547
354306,2564,13875,130.9900256
354307,13830,13831,58.11282429
354308,2521,13831,354.4760202
354309,9282,3257,127.7576861
354310,3196,9135,154.2604023
354311,9135,9085,130.6684861
354312,9086,3199,121.9228177
354313,3200,9087,170.4664492
354314,9083,8385,181.0320782
354315,3201,8385,136.0119227
354316,3202,3203,150.209699
354317,7643,9081,14.3640186
354318,9081,9044,164.9177015
354319,2799,2639,113.7850992
354320,8292,2800,206.7740674
354321,12049,2801,138.5371061
354322,11349,2803,68.47590465
354323,14588,7459,154.2192634
354324,3723,2705,136.8081431
354325,3724,3725,166.212935
354326,9180,9224,328.4410833
354327,3728,4136,8.599947418
354328,3729,3730,141.812195
354329,9323,8526,167.0280057
354330,3238,3733,144.2932229
354331,3733,9465,144.2976766
354332,3776,15012,155.9592007
